 === Starting experiment === 
 Reward condition: Left arm Better, Observation: [CENTER, No reward, Null]
[Step 230] Observation: [LEFT ARM,  Reward!, Null]
[Step 231] Action: [Move to LEFT ARM]
[Step 231] Observation: [LEFT ARM,  Reward!, Null]
[Step 232] Action: [Move to LEFT ARM]
[Step 232] Observation: [LEFT ARM,  Reward!, Null]
[Step 233] Action: [Move to LEFT ARM]
[Step 233] Observation: [LEFT ARM,  Reward!, Null]
[Step 234] Action: [Move to LEFT ARM]
[Step 234] Observation: [LEFT ARM,  Reward!, Null]
[Step 235] Action: [Move to LEFT ARM]
[Step 235] Observation: [LEFT ARM,  Reward!, Null]
[Step 236] Action: [Move to LEFT ARM]
[Step 236] Observation: [LEFT ARM,  Reward!, Null]
[Step 237] Action: [Move to LEFT ARM]
[Step 237] Observation: [LEFT ARM,  Reward!, Null]
[Step 238] Action: [Move to LEFT ARM]
[Step 238] Observation: [LEFT ARM,  Reward!, Null]
[Step 239] Action: [Move to LEFT ARM]
[Step 239] Observation: [LEFT ARM,  Reward!, Null]
[Step 240] Action: [Move to LEFT ARM]
[Step 240] Observation: [LEFT ARM,  Reward!, Null]
[Step 241] Action: [Move to LEFT ARM]
[Step 241] Observation: [LEFT ARM,  Reward!, Null]
[Step 242] Action: [Move to LEFT ARM]
[Step 242] Observation: [LEFT ARM,  Reward!, Null]
[Step 243] Action: [Move to LEFT ARM]
[Step 243] Observation: [LEFT ARM,  Reward!, Null]
[Step 244] Action: [Move to LEFT ARM]
[Step 244] Observation: [LEFT ARM,  Loss!, Null]
[Step 245] Action: [Move to LEFT ARM]
[Step 245] Observation: [LEFT ARM,  Reward!, Null]
[Step 246] Action: [Move to LEFT ARM]
[Step 246] Observation: [LEFT ARM,  Reward!, Null]
[Step 247] Action: [Move to LEFT ARM]
[Step 247] Observation: [LEFT ARM,  Loss!, Null]
[Step 248] Action: [Move to LEFT ARM]
[Step 248] Observation: [LEFT ARM,  Reward!, Null]
[Step 249] Action: [Move to LEFT ARM]
[Step 249] Observation: [LEFT ARM,  Loss!, Null]
[Step 250] Action: [Move to LEFT ARM]
[Step 250] Observation: [LEFT ARM,  Loss!, Null]
[Step 251] Action: [Move to LEFT ARM]
[Step 251] Observation: [LEFT ARM,  Reward!, Null]
[Step 252] Action: [Move to LEFT ARM]
[Step 252] Observation: [LEFT ARM,  Reward!, Null]
[Step 253] Action: [Move to LEFT ARM]
[Step 253] Observation: [LEFT ARM,  Reward!, Null]
[Step 254] Action: [Move to LEFT ARM]
[Step 254] Observation: [LEFT ARM,  Reward!, Null]
[Step 255] Action: [Move to LEFT ARM]
[Step 255] Observation: [LEFT ARM,  Reward!, Null]
[Step 256] Action: [Move to LEFT ARM]
[Step 256] Observation: [LEFT ARM,  Reward!, Null]
[Step 257] Action: [Move to LEFT ARM]
[Step 257] Observation: [LEFT ARM,  Reward!, Null]
[Step 258] Action: [Move to LEFT ARM]
[Step 258] Observation: [LEFT ARM,  Reward!, Null]
[Step 259] Action: [Move to LEFT ARM]
[Step 259] Observation: [LEFT ARM,  Reward!, Null]
[Step 260] Action: [Move to LEFT ARM]
[Step 260] Observation: [LEFT ARM,  Reward!, Null]
[Step 261] Action: [Move to LEFT ARM]
[Step 261] Observation: [LEFT ARM,  Reward!, Null]
[Step 262] Action: [Move to LEFT ARM]
[Step 262] Observation: [LEFT ARM,  Reward!, Null]
[Step 263] Action: [Move to LEFT ARM]
[Step 263] Observation: [LEFT ARM,  Reward!, Null]
[Step 264] Action: [Move to LEFT ARM]
[Step 264] Observation: [LEFT ARM,  Loss!, Null]
[Step 265] Action: [Move to LEFT ARM]
[Step 265] Observation: [LEFT ARM,  Reward!, Null]
[Step 266] Action: [Move to LEFT ARM]
[Step 266] Observation: [LEFT ARM,  Loss!, Null]
[Step 267] Action: [Move to LEFT ARM]
[Step 267] Observation: [LEFT ARM,  Reward!, Null]
[Step 268] Action: [Move to LEFT ARM]
[Step 268] Observation: [LEFT ARM,  Reward!, Null]
[Step 269] Action: [Move to LEFT ARM]
[Step 269] Observation: [LEFT ARM,  Reward!, Null]
[Step 270] Action: [Move to LEFT ARM]
[Step 270] Observation: [LEFT ARM,  Reward!, Null]
