t,location,reward,cue,action
418,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
419,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
420,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
421,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
422,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
423,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
424,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
425,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
426,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
427,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
428,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
429,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
430,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
431,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
432,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
433,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
434,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
435,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
436,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
437,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
438,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
439,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
440,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
441,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
442,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
443,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
444,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
445,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
446,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
447,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
448,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
449,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
